0,1,2,3,4
5252328,0.12777084128277666,5,2021-06-06,True
5252327,0.16804764710991554,5,2021-06-06,True
5252329,0.06481787140365747,5,2021-06-06,True
5252330,0.09757849321840598,5,2021-06-06,True
5252331,0.07160584110242425,5,2021-06-06,True
5252332,0.10061090643023911,5,2021-06-06,True
5252333,0.17618882175712985,5,2021-06-06,True
5252334,0.09710306517191175,5,2021-06-06,True
5255654,1.1806475205852631,5,2021-06-12,False
5255655,0.0,3,2021-06-12,False
5255638,0.0017193652286694215,5,2021-06-13,True
5255632,0.0022994577773903222,5,2021-06-13,True
5255636,0.001238658004413802,5,2021-06-13,True
5255635,0.0018673601416425334,5,2021-06-13,True
5255628,0.0,5,2021-06-13,True
5255634,0.9462807196213,5,2021-06-13,True
5255637,0.011907616770370487,5,2021-06-13,True
5255614,0.43802749236001093,5,2021-06-16,False
5255613,0.38726178121907723,5,2021-06-16,False
5255612,0.23449096553097223,5,2021-06-16,False
5255610,0.15388580419558948,5,2021-06-17,False
5255604,0.17684361168152715,5,2021-06-17,False
5255607,0.20957101597674602,5,2021-06-17,False
5255608,0.047264031852999315,5,2021-06-17,False
5255611,0.3149810808425886,5,2021-06-17,False
5255606,0.0,5,2021-06-17,False
5255588,0.24443696949045127,5,2021-06-20,True
5255587,0.15433729140302258,5,2021-06-20,True
5255586,0.21289201130864677,5,2021-06-20,True
5255585,0.14824723614495522,5,2021-06-20,True
5255584,0.1816437587518696,5,2021-06-20,True
5255579,0.1126052849769199,5,2021-06-20,True
5255605,0.0,5,2021-06-20,True
5255582,0.0,5,2021-06-20,True
5255555,0.10253328733706925,5,2021-06-23,False
5255556,0.23637241502959921,5,2021-06-23,False
5255557,0.1974751524321344,5,2021-06-23,False
5255560,0.4290425413908763,5,2021-06-23,False
5255561,0.2964966052339339,5,2021-06-24,False
5255562,0.17392482381409152,5,2021-06-24,False
5255563,0.1134766753927228,5,2021-06-24,False
5255566,0.6109927208712035,5,2021-06-24,False
5255559,0.7018517554489894,5,2021-06-25,False
5255558,0.2481400607674638,5,2021-06-25,False
5255552,0.12272483356474707,5,2021-06-27,True
5255550,0.22877146935108164,5,2021-06-27,True
5255548,0.11297901396377036,5,2021-06-27,True
5255564,0.0,5,2021-06-27,True
5255553,0.239480229567072,5,2021-06-27,True
5255530,0.0673920046363955,5,2021-06-27,True
5255549,0.15138132315192437,5,2021-06-27,True
5255551,0.09374301343360518,5,2021-06-27,True
5255531,0.01999929505273014,5,2021-06-27,True
5255512,0.12342816433146447,5,2021-06-30,False
5255510,0.391980567081764,5,2021-06-30,False
5255514,0.33177318149313706,5,2021-06-30,False
5255513,0.2474291135766435,5,2021-06-30,False
5255511,0.0,5,2021-06-30,False
5255504,0.07625441189641739,5,2021-07-01,False
5255508,0.0,5,2021-07-01,False
5255507,0.1416215458372971,5,2021-07-01,False
5255506,0.2157444952993029,5,2021-07-01,False
5255505,0.22105329361090562,5,2021-07-01,False
5255488,0.5403415899580164,5,2021-07-03,False
5255515,0.5183062296507008,5,2021-07-03,False
5255509,0.0035602592664156015,5,2021-07-04,True
5255489,0.007381016429852832,5,2021-07-04,True
5255485,0.0036491863497494633,5,2021-07-04,True
5255487,0.004215544167768125,5,2021-07-04,True
5255486,0.005592318481840985,5,2021-07-04,True
5255483,0.0021911154678020024,5,2021-07-04,True
5255480,0.9959960169858467,5,2021-07-04,True
5255484,0.006895608838368046,5,2021-07-04,True
5255458,0.11711836822240064,5,2021-07-07,False
5255464,0.08466517468162563,5,2021-07-07,False
5255460,0.21818876452408875,5,2021-07-07,False
5255459,0.2589403225834814,5,2021-07-07,False
5255466,0.1561678987775336,5,2021-07-07,False
5255457,0.15769016187585214,5,2021-07-07,False
5255463,0.24882510031242588,5,2021-07-08,False
5255462,0.5457185099569812,5,2021-07-08,False
5255477,0.15351793758780297,5,2021-07-10,False
5255440,0.1938472249834569,5,2021-07-10,False
5255461,0.20448204523282587,5,2021-07-10,False
5255467,0.08427768893244988,5,2021-07-10,False
5255437,0.21752375430979562,5,2021-07-10,False
5255439,0.08803175068221632,5,2021-07-10,False
5255441,0.1826658958769523,5,2021-07-11,False
5255469,0.18080167000652966,5,2021-07-11,False
5255474,0.48301341891481747,5,2021-07-11,False
5255478,0.23139607280956784,5,2021-07-11,False
5255413,0.00448449228191357,5,2021-07-17,False
5255418,1.0253362700941244,5,2021-07-17,False
5255415,0.011765841760316679,5,2021-07-17,False
5255416,0.11064348582582519,5,2021-07-18,True
5255414,0.23188345391568865,5,2021-07-18,True
5255407,0.04313807125830852,5,2021-07-18,True
5255408,0.4884531779020098,5,2021-07-18,True
5255417,0.1507639409856325,5,2021-07-18,True
5255409,0.015888849144823403,5,2021-07-18,True
5255389,0.5555311756574774,5,2021-07-24,False
5255391,0.5189950125405325,5,2021-07-24,False
5255385,0.2177453077435483,5,2021-07-25,False
5255387,0.20138241440387336,5,2021-07-25,False
5255388,0.0,3,2021-07-25,False
5255384,0.1750206641824181,5,2021-07-25,False
5255392,0.28027708153953557,5,2021-07-25,False
5255393,0.04194161672976332,5,2021-07-25,False
5255390,0.4283595700198337,5,2021-07-26,False
5255386,0.615112681055188,5,2021-07-26,False
5255360,0.0,5,2021-07-31,False
5255370,0.2151673138285934,5,2021-07-31,False
5255366,0.4084590377358086,5,2021-08-01,True
5255368,0.15705798159989662,5,2021-08-01,True
5255359,0.10459460990486964,5,2021-08-01,True
5255367,0.12082321503221331,5,2021-08-01,True
5255364,0.10244275310446568,5,2021-08-01,True
5255361,0.07940110503881347,5,2021-08-01,True
5255365,0.08408866815933459,5,2021-08-01,True
5255343,0.09119228243235211,5,2021-08-08,True
5255319,0.14607410013300035,5,2021-08-08,True
5255340,0.20425221724600717,5,2021-08-08,True
5255320,0.11183012053454168,5,2021-08-08,True
5255318,0.025060137973343076,5,2021-08-08,True
5255344,0.07765733376892074,5,2021-08-08,True
5255321,0.2617704115916263,5,2021-08-08,True
5255291,0.0,5,2021-08-14,False
5255289,0.9308707513185764,5,2021-08-14,False
5255298,0.011096798782061592,5,2021-08-15,True
5255293,0.2035287015063783,5,2021-08-15,True
5255295,0.2313517954415833,5,2021-08-15,True
5255290,0.25419927505066847,5,2021-08-15,True
5255294,0.14217655797853562,5,2021-08-15,True
5255296,0.0,4,2021-08-15,True
5255297,0.20791366285595442,5,2021-08-15,True
5255276,0.45368841643153307,5,2021-08-21,False
5255270,0.6314667192758024,5,2021-08-21,False
5255265,0.00850123494519672,5,2021-08-22,True
5255268,0.3388737428359878,5,2021-08-22,True
5255273,0.3588997263690348,5,2021-08-22,True
5255272,0.21732054980955795,5,2021-08-22,True
5255267,0.058687720096107336,5,2021-08-22,True
5255266,0.10144552669403753,5,2021-08-22,True
5255274,0.3057201758097768,5,2021-08-23,False
5255271,0.8563100047892924,5,2021-08-23,False
5255250,0.45521062776823074,5,2021-08-28,False
5255249,0.3054589281548222,5,2021-08-28,False
5255246,1.8020864651810402e-07,5,2021-08-29,True
5255248,2.210054798156885e-07,5,2021-08-29,True
5255241,2.9999985121642347,5,2021-08-29,True
5255247,6.26872655847434e-08,5,2021-08-29,True
