0,1,2,3,4,5
2738735,0.4803766932000214,5,2019-04-27,False,True
2738739,0.0,5,2019-04-27,False,True
2738740,0.1850767130825804,5,2019-04-27,False,True
2740879,0.12133953818864555,4,2019-04-28,True,True
2740882,0.08520457423419675,5,2019-04-28,True,True
2740887,0.04705301301317127,5,2019-04-28,True,True
2740886,0.7598821899810224,5,2019-04-28,True,True
2740885,0.035543615343808045,5,2019-04-28,True,True
2740906,0.058729081847064504,5,2019-04-28,True,True
2740905,0.04123688905145915,5,2019-04-28,True,True
2743107,,5,2019-05-01,False,False
2743108,,5,2019-05-01,False,False
2743106,,5,2019-05-01,False,False
2743111,,5,2019-05-01,False,False
2743110,,5,2019-05-01,False,False
2744172,0.08423229554262546,5,2019-05-02,False,True
2744174,0.0644818584645398,5,2019-05-02,False,True
2744173,0.10438235339836668,5,2019-05-02,False,True
2744177,1.0323704964649962,5,2019-05-02,False,True
2744178,0.09762881870688882,5,2019-05-02,False,True
2746105,0.0,5,2019-05-04,False,True
2746106,1.0453802293967063,5,2019-05-04,False,True
2748123,0.14908732251746945,5,2019-05-05,True,True
2748127,0.09885173277742883,5,2019-05-05,True,True
2748130,0.12049671781905487,3,2019-05-05,True,True
2748128,0.08675685742805203,5,2019-05-05,True,True
2748131,0.16997448704793217,5,2019-05-05,True,True
2748129,0.19341358871531888,5,2019-05-05,True,True
2748149,0.0,5,2019-05-05,True,True
2748148,0.1477814351858573,5,2019-05-05,True,True
2762896,0.5184039787456611,4,2019-05-11,False,True
2762898,2.7867051214228526,5,2019-05-11,False,True
2762915,0.0,2,2019-05-12,True,True
2762918,0.0,5,2019-05-12,True,True
2762921,0.0,5,2019-05-12,True,True
2762920,0.012382612694099241,4,2019-05-12,True,True
2762922,0.029600390542865018,5,2019-05-12,True,True
2762933,0.035694391351891286,5,2019-05-12,True,True
2762932,1.125636383838386,5,2019-05-12,True,True
2762931,0.05435792065513751,5,2019-05-12,True,True
2769657,0.14882450479367576,5,2019-05-18,False,True
2769659,0.0,4,2019-05-18,False,True
2769660,1.1596600359851408,5,2019-05-18,False,True
2769665,,5,2019-05-19,True,False
2769671,,5,2019-05-19,True,False
2769669,,5,2019-05-19,True,False
2769670,,2,2019-05-19,True,False
2769668,,5,2019-05-19,True,False
2769689,,5,2019-05-19,True,False
2769690,,5,2019-05-19,True,False
2774664,0.0,5,2019-05-25,False,True
2776377,1.2959209469365949,5,2019-05-25,False,True
2776379,0.6453542880595254,5,2019-05-26,True,True
2776378,0.37338109345950676,5,2019-05-26,True,True
2776398,0.000645581079173952,5,2019-05-26,True,True
2774666,0.0,5,2019-05-26,True,True
2776397,0.013005278750119236,5,2019-05-26,True,True
2774663,0.0,1,2019-05-26,True,True
2777281,0.0,4,2019-05-27,False,True
2777282,1.1272460237345259,5,2019-05-27,False,True
2782628,1.5594607260540765,5,2019-06-01,False,True
2782629,0.0,4,2019-06-01,False,True
2784078,,5,2019-06-02,True,False
2784082,,5,2019-06-02,True,False
2784079,,4,2019-06-02,True,False
2784080,,5,2019-06-02,True,False
2784095,,5,2019-06-02,True,False
2784081,,5,2019-06-02,True,False
2784094,,5,2019-06-02,True,False
2790514,0.3737950658677412,5,2019-06-08,False,True
2791672,0.923545249342322,5,2019-06-08,False,True
2790513,0.0,5,2019-06-08,False,True
2790510,0.0,4,2019-06-08,False,True
2791670,,5,2019-06-09,False,False
2791673,,5,2019-06-09,False,False
2790515,,5,2019-06-09,False,False
2790511,,5,2019-06-09,False,False
2795195,0.2938743675430532,5,2019-06-13,True,True
2795198,0.0,5,2019-06-13,True,True
2795196,0.0933674387029285,5,2019-06-13,True,True
2795197,0.0,5,2019-06-13,True,True
2795199,0.1484428798839882,4,2019-06-13,True,True
2795200,0.0,4,2019-06-13,True,True
2795202,0.0,5,2019-06-13,True,True
2795203,0.1143182069722469,5,2019-06-13,True,True
2795201,0.0,5,2019-06-13,True,True
2823108,0.3310376623221627,5,2019-07-13,False,True
2823105,0.0,5,2019-07-13,False,True
2823107,1.3772350893498961,5,2019-07-13,False,True
2823106,0.3785051456976205,5,2019-07-13,False,True
2823109,0.7189061634501852,5,2019-07-14,False,True
2823112,0.26547524511606685,5,2019-07-14,False,True
2823111,0.0,5,2019-07-14,False,True
2823110,0.0,4,2019-07-14,False,True
2823113,0.0,5,2019-07-14,False,True
2832536,0.0,5,2019-07-20,False,True
2832543,0.47539288063001595,5,2019-07-20,False,True
2832545,0.0,5,2019-07-20,False,True
2832546,0.04835500689692026,5,2019-07-20,False,True
2832544,0.0,5,2019-07-20,False,True
2833635,0.0,5,2019-07-21,False,True
2833638,0.0,5,2019-07-21,False,True
2833639,0.0,4,2019-07-21,False,True
2833642,0.45117278821420637,5,2019-07-21,False,True
2839497,,5,2019-07-27,False,False
2839500,,5,2019-07-27,False,False
2839501,,5,2019-07-27,False,False
2839499,,5,2019-07-27,False,False
2841128,1.0291335942917776,5,2019-07-28,False,True
2841133,0.0002853165009424109,5,2019-07-28,False,True
2841132,0.00016891965734017626,5,2019-07-28,False,True
2841135,0.0005359446416217141,5,2019-07-28,False,True
2841136,0.0002746947099549186,5,2019-07-28,False,True
2851290,1.0453879507504091,5,2019-08-03,False,True
2851291,1.0157795484923646,5,2019-08-03,False,True
2852528,0.8364520568671228,5,2019-08-04,False,True
2853375,0.018834711933818134,5,2019-08-04,False,True
2852533,0.06510891505010023,5,2019-08-04,False,True
2852539,0.0314567378891666,5,2019-08-04,False,True
2852540,0.030325118553836867,5,2019-08-04,False,True
2852541,0.04839324951287348,5,2019-08-04,False,True
2858601,0.3885065154160574,5,2019-08-10,False,True
2858603,0.5857891546925527,5,2019-08-10,False,True
2858605,0.0,5,2019-08-10,False,True
2860191,0.0,5,2019-08-11,False,True
2860198,0.0,4,2019-08-11,False,True
2860201,0.12224909350534158,5,2019-08-11,False,True
2860200,0.0,5,2019-08-11,False,True
2860199,0.3888303835933109,5,2019-08-11,False,True
2860209,0.2821922957234697,5,2019-08-11,False,True
2866783,0.0,5,2019-08-17,False,True
2866782,0.0,5,2019-08-17,False,True
2868162,0.48637354360147705,5,2019-08-17,False,True
2866785,0.3626550270339199,5,2019-08-17,False,True
2868471,,5,2019-08-18,True,False
2869496,,5,2019-08-18,True,False
2868479,,5,2019-08-18,True,False
2868481,,5,2019-08-18,True,False
2868480,,5,2019-08-18,True,False
2868484,,4,2019-08-18,True,False
2875730,0.6358397745090026,5,2019-08-24,False,True
2875743,0.4992830865678029,5,2019-08-24,False,True
2877366,0.22295661884174828,5,2019-08-25,False,True
2877364,0.23241752699090917,5,2019-08-25,False,True
2877365,0.0,5,2019-08-25,False,True
2877372,0.3999100901006667,5,2019-08-25,False,True
2877371,0.17640264810888764,5,2019-08-25,False,True
2877373,0.0,5,2019-08-25,False,True
2884281,,5,2019-08-31,False,False
